prompt_id,total_ideas,unique_clusters,diversity_ratio,idea_entropy,normalized_idea_entropy,top_cluster,top_cluster_count,top_cluster_share,top_5_clusters
collegeboard1,90,6,0.06666666666666667,2.198947454614812,0.8506689957789898,balanced_criticism_expertise,41,0.45555555555555555,"{'balanced_criticism_expertise': 41, 'pro_individual_independence': 17, 'pro_marginalized': 11, 'context_dependent': 8, 'limits_of_individualism': 7}"
collegeboard2,90,5,0.05555555555555555,2.1736082674938597,0.9361221272441266,present_balance,31,0.34444444444444444,"{'present_balance': 31, 'present_privilege_limited': 22, 'present_valid': 16, 'present_problematic': 14, 'present_for_performers': 7}"
collegeboard3,90,5,0.05555555555555555,1.8800028154756852,0.8096731417373564,partly_valid_context_dependent,38,0.4222222222222222,"{'partly_valid_context_dependent': 38, 'valid_optimism_strengthened': 30, 'structural_inequality_limitations': 10, 'invalid_optimism_pessimism_opposed': 10, 'rhetorical_strategy_effectiveness': 2}"
collegeboard4,90,6,0.06666666666666667,2.4900682590895054,0.963289896234403,performative_exhibitionism,25,0.2777777777777778,"{'performative_exhibitionism': 25, 'valid_visual_diary': 17, 'conditional_intent_context': 15, 'platform_commodification': 14, 'marginalized_collective_power': 12}"
collegeboard5,90,3,0.03333333333333333,1.418619670275654,0.8950493589786406,nuanced_or_contextual,51,0.5666666666666667,"{'nuanced_or_contextual': 51, 'largely_valid_consumerism': 21, 'claim_overstated_tech_storytelling': 18}"
ferrer1,90,8,0.08888888888888889,2.6303826239425554,0.8767942079808518,essential_development,24,0.26666666666666666,"{'essential_development': 24, 'critique_romanticized_risky': 17, 'conditional_with_support': 17, 'communal_interdependence': 15, 'social_progress_civic': 7}"
ferrer2,90,5,0.05555555555555555,2.176718571775993,0.9374616623869166,balanced_conditional_ownership,32,0.35555555555555557,"{'balanced_conditional_ownership': 32, 'skills_knowledge_as_identity': 19, 'material_harms_self': 16, 'communal_detachment_ownership': 16, 'positive_material_stewardship': 7}"
ferrer3,90,3,0.03333333333333333,1.5574374614194153,0.982633633736308,threat_conditioned_on_institutions,35,0.3888888888888889,"{'threat_conditioned_on_institutions': 35, 'private_wants_strengthen_pluralism': 33, 'threat_of_private_wants': 22}"
ferrer4,90,8,0.08888888888888889,2.861828674375289,0.9539428914584297,gig_economy_precarity,21,0.23333333333333334,"{'gig_economy_precarity': 21, 'influencer_personal_branding': 15, 'student_debt_education': 13, 'corporate_disposability': 13, 'housing_affordability': 9}"
ferrer5,90,4,0.044444444444444446,1.9065382836367462,0.9532691418183731,harms_science_and_training,31,0.34444444444444444,"{'harms_science_and_training': 31, 'secular_religion': 28, 'pragmatic_limits_and_pluralism': 20, 'power_instrumentalization': 11}"
